agtAgents
agtAgentTypes
agtResearchAgents
chrAncestries
chrAttributes
chrBloodlines
chrFactions
chrRaces
crpActivities
crpNPCCorporationDivisions
crpNPCCorporationResearchFields
crpNPCCorporations
crpNPCCorporationTrades
crpNPCDivisions
crtCategories
crtCertificates
crtClasses
crtRecommendations
crtRelationships
dgmAttributeCategories
dgmAttributeTypes
dgmEffects
dgmTypeAttributes
dgmTypeEffects
eveIcons
eveUnits
invBlueprintTypes
invCategories
invContrabandTypes
invControlTowerResourcePurposes
invControlTowerResources
invFlags
invGroups
invItems
invMarketGroups
invMetaGroups
invMetaTypes
invNames
invPositions
invTypeMaterials
invTypeReactions
invTypes
invUniqueNames
mapConstellationJumps
mapConstellations
mapJumps
mapLandmarks
mapLocationScenes
mapLocationWormholeClasses
mapRegionJumps
mapRegions
mapSolarSystemJumps
mapSolarSystems
mapUniverse
planetSchematics
planetSchematicsPinMap
planetSchematicsTypeMap
ramActivities
ramAssemblyLines
ramAssemblyLineStations
ramAssemblyLineTypeDetailPerCategory
ramAssemblyLineTypeDetailPerGroup
ramAssemblyLineTypes
ramInstallationTypeContents
ramTypeRequirements
staOperations
staOperationServices
staServices
staStations
staStationTypes
translationTables
warCombatZones
warCombatZoneSystems
